_rg_o_entidade,v_nculo,cargo,escolaridade,vagas,publica_o_di_rio_oficial_da_uni_o_dou,link_publicacao_dou,tipo_de_autoriza_o,data_provimento,area_atuacao_governamental,norma_jur_dica,data_publicacao_dou,ano_da_publica_o,portaria_concurso,data_publicacao_portaria_concurso,unnamed_12,observacao,ato_oficial,link_da_publica_o_no_d_o_u_,_rea_de_atua_o_governamental
Instituto Nacional do Seguro Social (INSS),Ministério do Desenvolvimento Social  - MDS,Técnico do Seguro Social,Nível Intermediário,,"Portaria nº 330/MP, de 25 de outubro de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=120&data=26/10/2017,Provimento Original,"a partir de abril de 2017, não podendo ocorrer após 31 de dezembro de 2017",,,,,,,,,,,
Fundação Nacional do Índio (FUNAI),Ministério da Justiça - MJ,Indigenista Especializado; Engenheiro; Engenheiro Agronômo; Contador,Nível Superior,,"Portaria nº 365/MP, de 10 de Novembro de 2017.",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=13/11/2017&jornal=515&pagina=73&totalArquivos=168,Provimento Original,,,,,,,,,,,,
Ministério da Saúde (MS),Ministério da Saúde - MS,Administrador; Contador; Analista Técnico de Políticas Sociais,Nível Superior,,"Portaria nº371/MP, de 14 de Novembro de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/11/2017&jornal=515&pagina=115&totalArquivos=140,Provimento Original,,,,,,,,,,,,
Instituto Nacional do Seguro Social (INSS),Ministério do Desenvolvimento Social  - MDS,Técnico do Seguro Social,Nível Intermediário,,"Portaria nº 390/MP, de 21 de Novembro de 2017.",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/11/2017&jornal=515&pagina=84&totalArquivos=120,Provimento Original,,,,,,,,,,,,
Agência Nacional de Vigilância Sanitária - (ANVISA),Ministéiro da Saúde - MS,Técnico Administrativo,Nível Intermediário,,"Portaria nº 391/MP, de 21 de Novembro de 2017.",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/11/2017&jornal=515&pagina=85&totalArquivos=120,Provimento  Original,,,,,,,,,,,,
Departamento de Polícia Rodoviári Federal,Ministério da Justiça - MJ,Agente Administrativo,Nível Intermediário,,"Portaria nº 407/MP, de 29 de Novembro de 2017.",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=01/12/2017&jornal=515&pagina=153&totalArquivos=184,Provimento Adicional,"a partir de dezembro de 2017, não podendo ocorrer após 31 de Dezembro de 2017.",,,,,,,,,,,
Agência Nacional de Aviação Civil (ANAC),"Ministério dos Transportes, Portos e Aviação Civil - MTPA",Especialista em Regulação  de Aviação Civil-Área 2,Nível Superior,,"Portaria nº 408/MP, de 29 de Novembro de 2017.",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=01/12/2017&jornal=515&pagina=153&totalArquivos=184,Provimento Original,"a partir de dezembro de 2017, não podendo ocorrer após 31 de Dezembro de 2017.",,,,,,,,,,,
"Instituto Nacional de Metrologia, Qualidade e Tecnologia (INMETRO)","Ministério do Desenvolvimento, Indústria e Comércio Exterior - MDIC",Analista Executivo em Metrologia e Qualidade e  Pesquisador Tecnologista em Metrologia e Qualidade,Nível Superior,,"Portaria nº 434/MP, de 12 de dezembro de 2017.",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=13/12/2017&jornal=515&pagina=133&totalArquivos=192,Provimento Original,"a partir de dezembro de 2017, não podendo ocorrer após 31 de Dezembro de 2017.",,,,,,,,,,,
Fundação Oswaldo Cruz   (FIOCRUZ),Ministério da Saúde - MS,"Assistente Técnico em Gestão de Saúde e Especialista em Ciência, Tecnologia, Produção e Inovação em Saúde Pública",NI/NS,,"Portaria nº 435/MP, de 12 de dezembro de 2017.",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=13/12/2017&jornal=515&pagina=133&totalArquivos=192,Provimento Original,"a partir de dezembro de 2017, não podendo ocorrer após 31 de Dezembro de 2017.",,,,,,,,,,,
Instituto Nacional de Câncer (INCA),Ministério da Saúde - MS,"Técnico, Pesquisador, Tecnologista e  Analista em Ciência e Tecnologia",NI/NS,,"Portaria nº 436/MP, de 12 de dezembro de 2017.",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=13/12/2017&jornal=515&pagina=133&totalArquivos=192,Provimento Original,"a partir de dezembro de 2017, não podendo ocorrer após 31 de Dezembro de 2017.",,,,,,,,,,,
Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN),Ministério da Cultura - MinC,"Analista I, Técnico I e Auxiliar Institucional I",NS/NI,,"Portaria nº  108, de 02 de Maio de 2018",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/05/2018&jornal=515&pagina=70&totalArquivos=82,Autorização de Concurso Público,,,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento - MAPA","Ministério da Agricultura, Pecuária e Abastecimento - MAPA",Auditor Fiscal Federal Agropecuário,Nível Superior,,"Portaria nº 155, de 08 de Junho de 2018.",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/06/2018&jornal=515&pagina=73&totalArquivos=128,Provimento Original,"a partir de Julho de 2018, não podendo ocorrer após 31 de dezembro de 2018.",,,,,,,,,,,
Advocacia-Geral da União - AGU,Advocacia-Geral da União - AGU,"Administrador, Analista Técnico Administrativo, Arquivista, Bibliotecário, Contador, Técnico em Assuntos Educacionais e Técnico em Comunicação Social",Nível Superior,,"Portaria nº 157, de 13 de junho de 2018.",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/06/2018&jornal=515&pagina=106&totalArquivos=130,Autorização de Concurso Público,,,,,,,,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,Ministério Extraordinário da Segurança Pública - MESP,Policial Rodoviário Federal,Nível Superior,,"Portaria nº 236, de 25 de julho de 2018",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/07/2018&jornal=515&pagina=172&totalArquivos=274,Autorização de Concurso Público,,,,,,,,,,,,
Ministério das Relações Exteriores - MRE,Ministério das Relações Exteriores - MRE,Terceiro Secretário da Carreira de Diplomata,Nível Superior,,"Ato próprio (inciso II do § 1º do Decreto nº 9.739, de 2019)",-,"Ateste Orçamentário
Provimento Originário","A partir de janeiro de 2020, não podendo ocorrer após 31 de dezembro de 2020",,,,,,,,,,,
Instituto Brasileiro de Geografia e Estatística - IBGE,Ministério da Economia - ME,"Agente Censitário Municipal
Agente Censitário Supervisor
Recenseador",NS/NI,,"Portaria nº 1.559, de 21 de janeiro de 2020",http://www.in.gov.br/en/web/dou/-/portaria-n-1.559-de-21-de-janeiro-de-2020-239181158,Contratação Temporária,A partir de fevereiro de 2020,,,,,,,,,,,
Instituto Brasileiro de Geografia e Estatística - IBGE,Ministério da Economia - ME,"Agente Censitário de Pesquisas por Telefone
Supervisor Censitário de Pesquisas e Codificação",NS/NI,,"Portaria nº 2.521, de 29 de janeiro de 2020",http://www.in.gov.br/en/web/dou/-/portaria-n-2.521-de-29-de-janeiro-de-2020-241337374,Contratação Temporária,A partir de julho de 2020,,,,,,,,,,,
"Instituto Nacional do Seguro Social - INSS
Ministério da Economia - ME",Ministério da Economia - ME,Diversos (exclusivo para servidores aposentados e militares inativos),NS/NI,,"Portaria nº 10.736, de 27 de abril de 2020",http://www.in.gov.br/web/dou/-/portaria-n-10.736-de-27-de-abril-de-2020-254215694,Contratação Temporária,A partir de abril de 2020,,,,,,,,,,,
Ministério das Relações Exteriores - MRE,Ministério das Relações Exteriores - MRE,Oficial de Chancelaria,Nível Superior,,"Portaria nº 196, de 8 de maio de 2020",http://www.in.gov.br/web/dou/-/portaria-n-196-de-8-de-maio-de-2020-255942432,Provimento Adicional,Maio de 2020,,,,,,,,,,,
Ministério da Saúde - MS,Ministério da Saúde - MS,"Médico
Enfermeiro
Técnico em Enfermagem
Profissionais de Gestão e Apoio",NS/NI,,"Portaria nº 11.259, de 5 de maio de 2020",http://www.in.gov.br/web/dou/-/portaria-n-11.259-de-5-de-maio-de-2020-256092403,Contratação Temporária,A partir de maio de 2020,,,,,,,,,,,
Ministério da Saúde - MS,Ministério da Saúde - MS,"Médico
Enfermeiro
Técnico em Enfermagem
Fisioterapeuta
Outros profissionais de saúde",NS/NI,,"Portaria Interministerial nº 12.683, de 25 de maio de 2020",http://www.in.gov.br/en/web/dou/-/portaria-interministerial-n-12.683-de-25-de-maio-de-2020-258469317,Contratação Temporária,A partir de maio de 2020,,,,,,,,,,,
Ministério do Desenvolvimento Regional - MDR,Ministério do Desenvolvimento Regional - MDR,"Engenheiro
Analista Administrativo
(ambos os cargos exclusivos para servidores aposentados)",Nível Superior,,"Portaria nº 13.266, de 29 de maio de 2020",http://www.in.gov.br/en/web/dou/-/portaria-n-13.266-de-29-de-maio-de-2020-259414292,Contratação Temporária,A partir de maio de 2020,,,,,,,,,,,
Polícia Rodoviária Federal - PRF,Ministério da Justiça e Segurança Pública - MJSP,Policial Rodoviário Federal,Nível Superior,,"Decreto nº 10.378, de 28 de maio de 2020",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=601&pagina=1&data=28/05/2020&totalArquivos=7,Provimento Excepcional,-,,,,,,,,,,,
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA,Ministério do Meio Ambiente - MMA,Brigadista,NS/NI,,"Portaria Interministerial nº 13.378, de 2 de junho de 2020",http://www.in.gov.br/en/web/dou/-/portaria-interministerial-n-13.378-de-2-de-junho-de-2020-260077951,Contratação Temporária,A partir de junho de 2020,,,,,,,,,,,
Comando do Exército,Ministério da Defesa - MD,Diversos,NS/NI/NA,,"Portaria Interministerial nº 13.668, de 5 de junho de 2020",http://www.in.gov.br/en/web/dou/-/portaria-interministerial-n-13.668-de-5-de-junho-de-2020-260556740,Contratação Temporária,A partir de junho de 2020,,,,,,,,,,,
Ministério da Economia - ME,Ministério da Economia - ME,Diversos,Nível Superior,,"Portaria nº 16.017, de 6 de julho de 2020",https://www.in.gov.br/en/web/dou/-/portaria-n-16.017-de-6-de-julho-de-2020-*-266200340,Contratação Temporária,A partir de julho de 2020,,,,,,,,,,,
"Comissão Especial de Extintos Territórios Federais de Rondônia, Amapá e Roraima - CEEXT do Ministério da Economia - ME",Ministério da Economia - ME,"Atividades Técnicas de Complexidade Intelectual: Especialidade Direito

Atividades Técnicas de Complexidade Intelectual: Especialidade Arquivologia",Nível Superior,,"Portaria nº 18.908, de 10 de agosto de 2020",https://www.in.gov.br/en/web/dou/-/portaria-n-18.908-de-10-de-agosto-de-2020-271714652,Contratação Temporária,A partir de agosto de 2020,,,,,,,,,,,
Instituto Brasileiro de Geografia e Estatística - IBGE,Ministério da Economia - ME,"Agente de Pesquisas e Mapeamento
Supervisor de Coleta e Qualidade
Agente de Pesquisas por Telefone
Supervisor de Pesquisas",NS/NI,,"Portaria nº 20.388, de 3 de setembro de 2020",https://www.in.gov.br/en/web/dou/-/portaria-n-20.388-de-3-de-setembro-de-2020-276906108,Contratação Temporária,A partir de janeiro de 2021,,,,,,,,,,,
"Secretaria Especial de Produtividade, Emprego e Competitividade e Secretaria de Políticas Públicas de Emprego.",Ministério da Economia - ME,Coordenador de Análise de Prestação de Contas Temporário; Analista de Prestação de Contas Temporário (NS); Agente de Apoio de Prestação de Contas Temporário;Analista de instauração de Tomada de Contas Especial (NS),NI/NS,,"Portaria nº 21.566, de 30 de setembro de 2020",https://www.in.gov.br/en/web/dou/-/portaria-n-21.566-de-30-de-setembrode-2020-281307284,Contratação Temporária,A partir de outubro de 2020,,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento - MAPA","Ministério da Agricultura, Pecuária e Abastecimento - MAPA",Auditor Fiscal Federal Agropecuário,Nível Superior,,"Decreto nº 10.507, de 2 de outubro de 2020",http://www.planalto.gov.br/ccivil_03/_Ato2019-2022/2020/Decreto/D10507.htm,Provimento Excepcional,A partir de outubro de 2020,,,,,,,,,,,
Departamento Penitenciário Nacional - DEPEN,Ministério da Justiça e Segurança Pública - MJSP,"Especialista Técnico de Obras - Engenharia;  
Analista Técnico de Obras - Engenharia;  
Analista Técnico de Obras - Arquitetura",NI/NS,,"Portaria ME/MJSP, de 2 de outubro de 2020",https://www.in.gov.br/en/web/dou/-/portaria-me/mjsp-n-21.073-de-2-de-outubro-de-2020-281307230,Contratação Temporária,A partir de outubro de 2020,,,,,,,,,,,
Polícia Federal - PF,Ministério da Justiça e Segurança Pública - MJSP,Perito Criminal Federal,Nível Superior,,"Decreto nº 10.513, de 8 de outubro de 2020",https://www.in.gov.br/en/web/dou/-/decreto-n-10.513-de-8-de-outubro-de-2020-282074930,Provimento Excepcional,A partir de outubro de 2020,,,,,,,,,,,
Agência Nacional de Mineração - ANM,Ministério de Minas e Energia - MME,Técnico em Segurança de Barragens de Mineração,Nível Superior,,"Portaria Interministerial nº 23.478, de 12 de novembro de 2020",https://www.in.gov.br/en/web/dou/-/portaria-interministerial-n-23.478-de-12-de-novembro-de-2020-289766536,Contratação Temporária,A partir de novembro de 2020,,,,,,,,,,,
Polícia Federal - PF,Ministério da Justiça e Segurança Pública - MJSP,"Delegado de Polícia Federal
Agente de Polícia Federal
Escrivão de Polícia Federal
Papiloscopista Policial Federal",Nível Superior,,"Ato próprio (inciso II do § 1º do Decreto nº 9.739, de 2019)",-,"Ateste Orçamentário
Concurso Público",A partir de setembro de 2021,,,,,,,,,,,
Polícia Rodoviária Federal - PRF,Ministério da Justiça e Segurança Pública - MJSP,Policial Rodoviário Federal,Nível Superior,,"Portaria SEDGG/ME nº 25.412, de 23 de dezembro de 2020",https://www.in.gov.br/en/web/dou/-/portaria-sedgg/me-n-25.412-de-23-de-dezembro-de-2020-296154699,Concurso Público,A partir de setembro de 2021,,,,,,,,,,,
Instituto Nacional de Pesquisas Espaciais - INPE,MCTI,Pesquisador,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 012,2015-02-02,2015.0,Port. 064,,,,,,
Instituto Nacional de Pesquisas Espaciais - INPE,MCTI,Tecnologista,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 012,2015-02-02,2015.0,Port. 064,,,,,,
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis – ANP",MME,Analista Administrativo,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 019,2015-02-10,2015.0,Port. 168,,,,,,
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis – ANP",MME,"Especialista em Regulação de Petróleo e Derivados, Álcool Combustível e Gás Natural",Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 019,2015-02-10,2015.0,Port. 168,,,,,,
Departamento Penitenciário Nacional - DEPEN,MJ,Especialista em Assistência Penitenciária,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 024,2015-02-19,2015.0,Port. 024,,,,,,
Departamento Penitenciário Nacional - DEPEN,MJ,Técnico de Apoio à Assistência Penitenciária,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 024,2015-02-19,2015.0,Port. 024,,,,,,
Departamento Penitenciário Nacional - DEPEN,MJ,Agente Penitenciário Federal,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 024,2015-02-19,2015.0,Port. 024,,,,,,
Departamento de Polícia Rodoviária Federal - DPRF,MJ,Policial Rodoviário Federal,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 025,2015-02-19,2015.0,Port. 100,,,,,,
Fundação Nacional do Índio - FUNAI,MJ,Indigenista Especializado,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 085,2015-04-22,2015.0,Port. 085,,,,,,
Fundação Nacional do Índio - FUNAI,MJ,Engenheiro,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 085,2015-04-22,2015.0,Port. 085,,,,,,
Fundação Nacional do Índio - FUNAI,MJ,Engenheiro Agrônomo,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 085,2015-04-22,2015.0,Port. 085,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,Técnico em Propriedade Industrial,Nível Intermediário,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 106,2015-04-28,2015.0,Port. 255,,,,,,
Ministério da Educação – MEC,MEC,Técnico-Administrativo em Educação,Nível Superior,,,,ConcursoProvimento,,Social,Port. 001,2015-05-05,2015.0,Port. 111,,"Retificação, inclusão de 190 cargos da Classe E.","Retificação, inclusão de 190 cargos da Classe E.",,,
Comando da Aeronáutica - COMAER,MD,Professor de Magistério Superior,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 117,2015-05-11,2015.0,Port. 358,,,,,,
Hospital das Forças Armadas - HFA,MD,Médico 20h,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 118,2015-05-11,2015.0,Port. 009,,,,,,
Hospital das Forças Armadas - HFA,MD,Especialista em Atividades Hospitalares,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 118,2015-05-11,2015.0,Port. 009,,,,,,
Hospital das Forças Armadas - HFA,MD,Técnico em Atividades Médico-Hospitalares,Nível Intermediário,,,,1º Provimento,,Articulação Governamental,Port. 118,2015-05-11,2015.0,Port. 009,,,,,,
Departamento Nacional de Infraestrutura de Transportes - DNIT,MT,Analista de Infraestrutura de Transporte,Nível Superior,,,,Excepcional,,Infraestrutura,EMI. 063,2015-05-20,2015.0,Port. 191,,,,,,
Departamento Nacional de Infraestrutura de Transportes - DNIT,MT,Analista Administrativo,Nível Superior,,,,Excepcional,,Infraestrutura,EMI. 063,2015-05-20,2015.0,Port. 191,,,,,,
Departamento Nacional de Infraestrutura de Transportes - DNIT,MT,Técnico de Suporte em Infraestrutura,Nível Intermediário,,,,Excepcional,,Infraestrutura,EMI. 063,2015-05-20,2015.0,Port. 191,,,,,,
Departamento Nacional de Infraestrutura de Transportes - DNIT,MT,Técnico Administrativo,Nível Intermediário,,,,Excepcional,,Infraestrutura,EMI. 063,2015-05-20,2015.0,Port. 191,,,,,,
Ministério das Relações Exteriores - MRE,MRE,Diplomata,Nível Superior,,,,ConcursoProvimento,,Articulação Governamental,Of. 355/2015/SEGEP/MP,2015-05-27,2015.0,Of. 355/2015/SEGEP/MP,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Analista de Gestão em Saúde,Nível Superior,,,,Adicional de até 50%,,Social,Port. 192,2015-06-09,2015.0,Port. 483,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Especialista em C&T Produção e Inovação em Saúde Pública,Nível Superior,,,,Adicional de até 50%,,Social,Port. 192,2015-06-09,2015.0,Port. 483,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Tecnologista em Saúde Pública,Nível Superior,,,,Adicional de até 50%,,Social,Port. 192,2015-06-09,2015.0,Port. 483,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Pesquisador em Saúde Pública,Nível Superior,,,,Adicional de até 50%,,Social,Port. 192,2015-06-09,2015.0,Port. 483,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Técnico em Saúde Pública,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 192,2015-06-09,2015.0,Port. 483,,,,,,
Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO,MTE,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,1º Provimento,,Social,Port. 193,2015-06-11,2015.0,Port. 338,,,,,,
Ministério das Relações Exteriores - MRE,MRE,Oficial de Chancelaria,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 194,2015-06-11,2015.0,Port. 194,,,,,,
Secretaria da Receita Federal do Brasil – RFB,MF,Auditor-Fiscal da Receita Federal do Brasil,Nível Superior,,,,Excepcional,,Desenvolvimento Econômico e Produtivo,EMI. 051,2015-06-11,2015.0,Port. 051,,,,,,
Advocacia-Geral de União - AGU,PR,Advogado da União,Nível Superior,,,,ConcursoProvimento,,Articulação Governamental,Of. 469/SEGEP/MP,2015-06-16,2015.0,Of. 469/SEGEP/MP,,,SUSPENSO JUDICIALMENTE,,,
Advocacia-Geral de União - AGU,PR,Procurador Federal,Nível Superior,,,,ConcursoProvimento,,Articulação Governamental,Of. 469/SEGEP/MP,2015-06-16,2015.0,Of. 469/SEGEP/MP,,,SUSPENSO JUDICIALMENTE,,,
Ministério da Fazenda – MF,MF,Procurador da Fazenda Nacional,Nível Superior,,,,ConcursoProvimento,,Desenvolvimento Econômico e Produtivo,Of. 469/SEGEP/MP,2015-06-16,2015.0,Of. 469/SEGEP/MP,,,SUSPENSO JUDICIALMENTE,,,
